Question,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer,Explanation,Domain
 MI’s “spirit” includes all EXCEPT… , Partnership , Acceptance , Coercion , Compassion , Evocation , C , Coercion contradicts MI spirit. ,Intervention
 Central purpose of MI is resolving… , Transference , Ambivalence , Cognitive distortions , Attachment trauma , Skill deficits , B , MI aims to explore and resolve ambivalence. ,Intervention
 MI stance with resistance is to… , Argue , Confront strongly , Roll with it , Ignore it , Pathologize it , C , “Roll with resistance.” ,Intervention
 MI assumes motivation for change is primarily… , Extrinsic , Therapist-driven , Intrinsic within the client , Pharmacologically induced , Environmentally enforced , C , Evocation of intrinsic motivation highlighted. ,Intervention
 SFT primarily emphasizes… , Root-cause analysis , Building solutions and exceptions , Long trauma history , Family genograms only , Projective tests , B ," Focus on goals, strengths, exceptions. ",Intervention
 A core SFT assumption: , Understanding causes is necessary , Small steps can lead to large changes , The therapist is the expert , Change is rare , Problems must be fully mapped , B , “Small steps → large changes.” ,Intervention
 Which aligns least with SFT? , Future-focused , Client defines goals , Symptom counting only , Amplify strengths , Notice exceptions , C , Symptom counting only conflicts with SFT stance. ,Intervention
 Family therapy is… , Individual therapy with witnesses , Psychoeducation only ," Systemic, focusing on patterns, boundaries, functions ", ERP with parents , Always psychodynamic , C , Defined as systemic with patterns/boundaries emphasis. ,Intervention
" A boundary-focused, systemic intervention is most characteristic of… ", CBT , SFT , Family therapy , IPT , MI , C , Family therapy emphasizes boundaries and structure. ,Intervention
 SSRIs are most commonly first-line for which condition? , Anxiety only , Depression, Psychosis , Mania , ADHD , B , SSRIs are also first-line for MDD (and many anxiety disorders).,Intervention
